,0
MSFT,0.3228124364303711
AAPL,0.2838066456556477
AMZN,0.3506820423133585
GOOG,0.2634991806641732
FB,0.353218288865229
TSLA,0.6959168945357683
GOOGL,0.2585629311481571
NVDA,0.5772340454335906
CMCSA,0.17286184452869754
ADBE,0.3641829914547049
INTC,0.18799758435331648
CSCO,0.17562990408002307
NFLX,0.5361580978924445
PEP,0.13428683884451595
AVGO,0.4012773482730896
TMUS,0.30262569672930534
TXN,0.2710827034608047
COST,0.20089275805342668
AMGN,0.17681038160265478
CHTR,0.30183689887764326
SBUX,0.21428302204705352
AMAT,0.3719715600936034
INTU,0.28920653009708863
ISRG,0.24971948773020566
AMD,0.5843926934742996
BKNG,0.1966795733684633
MU,0.4022075042263224
LRCX,0.41304910281876317
MDLZ,0.144644321918479
ADP,0.20869042175250624
GILD,0.1323423686233179
FISV,0.22619484276619664
CSX,0.24277640881259924
ATVI,0.31311806081700894
MELI,0.44313339187826717
ADSK,0.3014972973315047
ADI,0.22520604547145465
ILMN,0.32902268063150786
NXPI,0.31680172654314864
BIDU,0.15502483036451217
